drugName,condition,review,rating,usefulCount
Etonogestrel,Birth Control,"""Implanon isn&#039;t a slow release of hormones like other birth controls I&#039;ve used. Within the first 300 hours (approximately 12 days) the hormonal release is a mess. I&#039;ve had my Implanon for a week now and have been experiencing terrible mood swings, depression, and sensitivity. But I know I will slowly adjust. I suffer depression to begin with, and honestly I&#039;ve never felt as lost as I do right now. Slowly my symptoms are becoming more controllable and less frightening. The fifth and sixth days were my worst. I can already feel things getting better. I would recommend the Implanon, but people need to understand there is no magic birth control. There are negative side effects with all of them. You just have to decide if they&#039;re worth it.""",4.0,0
Celexa,Anxiety and Stress,"""Weight loss, insomnia, nausea, loss of appetite. EXTREMELY irritable. Sweaty palms. NO THANK YOU.""",1.0,40
Saphris,Bipolar Disorde,"""This drug was an experience in itself. The 1st night I got the restless legs syndrome and kept getting out of bed to go to the bathroom because I had this urge to urinate but... when I got there, couldn&#039;t. Then, the next day in the morning I felt whacked. Stoned. Then, I&#039;d pick up after breakfast and my mind would race. I&#039;d become manic. Which was enjoyable. Like an uber high. That bit was good. But kinda defeats the purpose ... so goodbye Saphris.""",2.0,5
Tioconazole,Vaginal Yeast Infection,"""I unfortunately have my first yeast infection of my life due to antibiotics.  I have been putting off trying to see if it would go away on own but after a week, I went ahead and tried monistat  1. Oh my goodness was this the worse mistake of my life. The burning and itching is so bad, all I want to do is cry! I have tried washing off as much as I can but nothing is helping. It is now almost 3 am and I have been trying for 2 hours to get some kind of relief. I hope this eases soon because I have to work in the morning.""",1.0,0
Imbruvica,Chronic Lymphocytic Leukemia,"""My husband took 3 Imbruvica before bedtime and died the next day from Sudden Cardiac Arrest""",1.0,6
Quetiapine,Obsessive Compulsive Disorde,"""If OCD thoughts are keeping you up at night this works well. Turns the brain off with literally 25 mg a night one hour before I want to sleep. Daytime Paxil has worked best for me.""",10.0,20
Bupropion,Depression,"""This medicine has worked wonders for me. I started for 2 months on 150mg and then transitioned into 300mg. At first I had anxiety a little but it went away. I am much more happy, energized, I enjoy life more and I finally started to love myself. This medicine has given me my confidence back and I started to dress better, put makeup on in the morning and care about myself. I don&#039;t know how long I will be on it but it really gave me a huge boost to start living again and being around family and friends. I also lost 20 pounds so far. I am on a diet and its very easy to follow. I think this medicine is helping since I have no cravings at all.""",10.0,108
MiraLax,Constipation,"""I&#039;ve suffered from chronic constipation my entire 42 years on earth. I could easily go 3-4 weeks without having a BM. That is not healthy and certainly NOT normal. I was deployed to Africa last fall and knew I would be in a world of hurt if I didn&#039;t get something to take with me. Laxatives/stool softeners never worked so I  grabbed a bottle of Miralax to try. I am so very glad I did. This product saved my life and allowed me to focus on the mission (treating Ebola infected healthcare personnel) rather than becoming a patient myself because of severe abdominal pain.
I am able to have a BM several times a day now without pain or abdominal discomfort at all. My doctor has given me a prescription for it which makes it even better.""",10.0,77
Propranolol,Anxiety,"""WOW  I&#039;ve just come home after delivering my big presentation to over 100 people. It was incredible. No panic, no shaking voice, no crazy beating heart, just calm....
I&#039;m blown away.. normally I can&#039;t even talk to over 3 people. Didn&#039;t realise how much social anxiety had limited my life until trying this medication- I feel like I can finally be me.  
Sadly It was only prescribed as a one off from my GP to help with this event, she said I&#039;ll need to try counselling in future.""",10.0,18
Levothyroxine,Underactive Thyroid,"""I&#039;ve been taking Synthroid since October 2010 for my underactive Thyroid and am also a type 2 Diabetic.  It is now February 2011 and things are wonderful.  After about two weeks, my mood improved.  After 6 weeks I was able to get a haircut (prior to this my hair kept breaking off at the ends) and my hair shines again.  I&#039;ve also lost a total of 15.5 pounds and counting.  My doctor says it&#039;s because the Synthroid has corrected my metabolism.  No bad side effects to date (fingers crossed for the future too).  I am on a low dose...25mg. Monday through to Friday only...Weekends off.""",10.0,119
Amitriptyline,Migraine Prevention,"""I was previously on Cymbalta, 60mg daily, for migraine prevention.  I liked it and had minimal side effects.  I lost my job and am now only on Tricare so the doctor put me on Elavil, 10mg.  He told me to increase the dose by 10mg every four days.  I was drowsy on 10mg and a little less drowsy at 20mg.  As soon as I increased to 30mg I couldn&#039;t sleep and felt shakey during the day. I tried it for four nights and, after about 4 or less hours of sleep each night, I reduced the dose to 20mg.  I noticed my neck pain decreased at the 30mg but I can&#039;t function without any sleep.  I have had two migraines while on the 10 and 20mg doses of this medication.  SSRIs usually make me hyper and get insomnia so I wasn&#039;t surprised.""",2.0,18
Wellbutrin,Panic Disorde,"""Today is my second day and I feel okay.  I am in transition from Celexa to Wellbutrin XL.  I take Wellbutrin XL 150mg in the morning and Celexa 10mg in the evening.  The only main noticeable side effects are I am a little anxious and I have stomach cramps.  They are not terrible though.  I expect to have some transition period.  I know it sounds crazy but I lost 1 pound in the 1st day I took it. Celexa put 10 -15 lbs on me that I cannot take off even with exercise.  I will keep you updated!""",7.0,36
Elmiron,Interstitial Cystitis,"""I have been using Elmiron since February 2008. I love it. I think I did gain some weight but, who cares. I did not have as severe a case of interstitial cyctitis as some people but the medicine has sure been a blessing for me. I have just recently cut back on it because I believe I have leveled off with the symptoms. But just to be safe on that, I&#039;ll be seeing my Doctor to be sure. Don&#039;t want any flare ups. I&#039;ve been able to eat again. I eat just about anything I always did. Mustard being my favorite. Thanks Elmiron for helping me. According to what I have read on interstitial cystitis mine is a mild case. I do hope Elmiron will help those with a severe case. I am so blessed and pray others will be after taking the medicine.""",10.0,66
